IMEI,MRTime,LatMobile,LongMobile,CellID_1,LatBS1,LongBS1,Dbm_1,AsuLevel_1,SignalLevel_1,CellID_2,LatBS2,LongBS2,Dbm_2,AsuLevel_2,SignalLevel_2,CellID_3,LatBS3,LongBS3,Dbm_3,AsuLevel_3,SignalLevel_3,CellID_4,LatBS4,LongBS4,Dbm_4,AsuLevel_4,SignalLevel_4,CellID_5,LatBS5,LongBS5,Dbm_5,AsuLevel_5,SignalLevel_5,CellID_6,LatBS6,LongBS6,Dbm_6,AsuLevel_6,SignalLevel_6
861374033830412,1507627346,31.28926598,121.21361016,26050,31.28841321,121.21106286,-79,17,4,27394,31.28320002,121.20728971,-83,15,4,41139,31.28973841,121.21868325,-83,15,4,26049,31.28843711,121.21106666,-81,16,4,27378,31.28215882,121.20931041,-91,11,3,27377,31.29263501,121.21829475,-87,13,4
861374033830412,1507627351,31.28922812,121.21357512,26051,31.28948091,121.21376815,-75,19,4,27394,31.28320002,121.20728971,-81,16,4,41139,31.28973841,121.21868325,-83,15,4,26049,31.28843711,121.21106666,-83,15,4,27378,31.28215882,121.20931041,-91,11,3,27377,31.29263501,121.21829475,-87,13,4
861374033830412,1507627356,31.28926254,121.21358264,26051,31.28948091,121.21376815,-75,19,4,27394,31.28320002,121.20728971,-81,16,4,41139,31.28973841,121.21868325,-83,15,4,26049,31.28843711,121.21106666,-83,15,4,27378,31.28215882,121.20931041,-91,11,3,27377,31.29263501,121.21829475,-87,13,4
861374033830412,1507627359,31.28928476,121.21360502,26051,31.28948091,121.21376815,-73,20,4,27394,31.28320002,121.20728971,-83,15,4,41139,31.28973841,121.21868325,-81,16,4,26049,31.28843711,121.21106666,-81,16,4,27378,31.28215882,121.20931041,-91,11,3,27377,31.29263501,121.21829475,-85,14,4
861374033830412,1507627362,31.28928753,121.21359564,26051,31.28948091,121.21376815,-73,20,4,27394,31.28320002,121.20728971,-83,15,4,41139,31.28973841,121.21868325,-81,16,4,26049,31.28843711,121.21106666,-81,16,4,27378,31.28215882,121.20931041,-89,12,4,27377,31.29263501,121.21829475,-83,15,4
861374033830412,1507627365,31.28930046,121.21362195,26051,31.28948091,121.21376815,-63,25,4,27394,31.28320002,121.20728971,-81,16,4,41139,31.28973841,121.21868325,-81,16,4,26049,31.28843711,121.21106666,-81,16,4,27378,31.28215882,121.20931041,-89,12,4,27377,31.29263501,121.21829475,-83,15,4
861374033830412,1507627368,31.28930881,121.21362589,26051,31.28948091,121.21376815,-61,26,4,27394,31.28320002,121.20728971,-79,17,4,41139,31.28973841,121.21868325,-79,17,4,26049,31.28843711,121.21106666,-79,17,4,27378,31.28215882,121.20931041,-85,14,4,27377,31.29263501,121.21829475,-79,17,4
861374033830412,1507627371,31.28930383,121.21362335,26051,31.28948091,121.21376815,-65,24,4,27394,31.28320002,121.20728971,-79,17,4,41139,31.28973841,121.21868325,-77,18,4,26049,31.28843711,121.21106666,-79,17,4,27378,31.28215882,121.20931041,-83,15,4,27377,31.29263501,121.21829475,-77,18,4
861374033830412,1507627374,31.2893021,121.21363337,26051,31.28948091,121.21376815,-69,22,4,27394,31.28320002,121.20728971,-73,20,4,41139,31.28973841,121.21868325,-73,20,4,26049,31.28843711,121.21106666,-79,17,4,27378,31.28215882,121.20931041,-81,16,4,27377,31.29263501,121.21829475,-77,18,4
861374033830412,1507627378,31.28929923,121.21363277,26051,31.28948091,121.21376815,-75,19,4,27394,31.28320002,121.20728971,-71,21,4,41139,31.28973841,121.21868325,-73,20,4,26049,31.28843711,121.21106666,-79,17,4,27378,31.28215882,121.20931041,-81,16,4,27377,31.29263501,121.21829475,-73,20,4
861374033830412,1507627381,31.28933611,121.21372149,26051,31.28948091,121.21376815,-73,20,4,27394,31.28320002,121.20728971,-67,23,4,41139,31.28973841,121.21868325,-73,20,4,26049,31.28843711,121.21106666,-79,17,4,27377,31.29263501,121.21829475,-73,20,4,26050,31.28841321,121.21106286,-73,20,4
861374033830412,1507627384,31.28936769,121.21383737,26051,31.28948091,121.21376815,-65,24,4,41139,31.28973841,121.21868325,-73,20,4,26049,31.28843711,121.21106666,-81,16,4,27377,31.29263501,121.21829475,-71,21,4,26050,31.28841321,121.21106286,-73,20,4,0,0,0,0,0,0
861374033830412,1507627387,31.2893627,121.21398085,26051,31.28948091,121.21376815,-63,25,4,41139,31.28973841,121.21868325,-73,20,4,26049,31.28843711,121.21106666,-81,16,4,27377,31.29263501,121.21829475,-71,21,4,26050,31.28841321,121.21106286,-75,19,4,0,0,0,0,0,0
861374033830412,1507627390,31.28938831,121.21412118,26051,31.28948091,121.21376815,-65,24,4,41139,31.28973841,121.21868325,-73,20,4,26049,31.28843711,121.21106666,-83,15,4,27377,31.29263501,121.21829475,-75,19,4,26050,31.28841321,121.21106286,-75,19,4,0,0,0,0,0,0
861374033830412,1507627393,31.28939588,121.21424223,26051,31.28948091,121.21376815,-63,25,4,41139,31.28973841,121.21868325,-73,20,4,26049,31.28843711,121.21106666,-83,15,4,27377,31.29263501,121.21829475,-75,19,4,26050,31.28841321,121.21106286,-77,18,4,0,0,0,0,0,0
861374033830412,1507627396,31.28936882,121.21440767,26051,31.28948091,121.21376815,-65,24,4,41139,31.28973841,121.21868325,-73,20,4,26049,31.28843711,121.21106666,-83,15,4,27377,31.29263501,121.21829475,-75,19,4,26050,31.28841321,121.21106286,-77,18,4,0,0,0,0,0,0
861374033830412,1507627399,31.28940984,121.21453702,26051,31.28948091,121.21376815,-63,25,4,41139,31.28973841,121.21868325,-77,18,4,26049,31.28843711,121.21106666,-81,16,4,27377,31.29263501,121.21829475,-79,17,4,26050,31.28841321,121.21106286,-77,18,4,0,0,0,0,0,0
861374033830412,1507627403,31.28944871,121.21465432,26051,31.28948091,121.21376815,-61,26,4,41139,31.28973841,121.21868325,-79,17,4,26049,31.28843711,121.21106666,-81,16,4,27377,31.29263501,121.21829475,-79,17,4,26050,31.28841321,121.21106286,-79,17,4,0,0,0,0,0,0
861374033830412,1507627406,31.28949457,121.21477458,26051,31.28948091,121.21376815,-65,24,4,41139,31.28973841,121.21868325,-79,17,4,26049,31.28843711,121.21106666,-81,16,4,27377,31.29263501,121.21829475,-79,17,4,26050,31.28841321,121.21106286,-81,16,4,0,0,0,0,0,0
861374033830412,1507627409,31.28952737,121.21486169,26051,31.28948091,121.21376815,-61,26,4,41139,31.28973841,121.21868325,-79,17,4,26049,31.28843711,121.21106666,-83,15,4,27377,31.29263501,121.21829475,-79,17,4,26050,31.28841321,121.21106286,-81,16,4,0,0,0,0,0,0
861374033830412,1507627412,31.28955287,121.21498451,26051,31.28948091,121.21376815,-61,26,4,41139,31.28973841,121.21868325,-81,16,4,26049,31.28843711,121.21106666,-81,16,4,27377,31.29263501,121.21829475,-75,19,4,26050,31.28841321,121.21106286,-81,16,4,0,0,0,0,0,0
861374033830412,1507627415,31.28952424,121.21513599,26051,31.28948091,121.21376815,-57,28,4,41139,31.28973841,121.21868325,-81,16,4,26049,31.28843711,121.21106666,-81,16,4,27377,31.29263501,121.21829475,-75,19,4,26050,31.28841321,121.21106286,-81,16,4,0,0,0,0,0,0
861374033830412,1507627418,31.2895233,121.21522184,26051,31.28948091,121.21376815,-57,28,4,41139,31.28973841,121.21868325,-79,17,4,26049,31.28843711,121.21106666,-81,16,4,27377,31.29263501,121.21829475,-73,20,4,26050,31.28841321,121.21106286,-81,16,4,0,0,0,0,0,0
861374033830412,1507627421,31.28954616,121.21533627,26051,31.28948091,121.21376815,-59,27,4,41139,31.28973841,121.21868325,-77,18,4,26049,31.28843711,121.21106666,-85,14,4,27377,31.29263501,121.21829475,-71,21,4,26050,31.28841321,121.21106286,-83,15,4,0,0,0,0,0,0
861374033830412,1507727297,31.29207445,121.21387181,26051,31.28948091,121.21376815,-67,23,4,44757,31.29358048,121.20944991,-79,17,4,27394,31.28320002,121.20728971,-87,13,4,26049,31.28843711,121.21106666,-89,12,4,27377,31.29263501,121.21829475,-71,21,4,27393,31.29329501,121.21280385,-83,15,4
861374033830412,1507727300,31.29207445,121.21387181,26051,31.28948091,121.21376815,-73,20,4,44757,31.29358048,121.20944991,-79,17,4,26049,31.28843711,121.21106666,-89,12,4,27377,31.29263501,121.21829475,-71,21,4,27393,31.29329501,121.21280385,-87,13,4,14547,31.30375802,121.24132505,-85,14,4
861374033830412,1507727303,31.29203038,121.21360115,26051,31.28948091,121.21376815,-79,17,4,44757,31.29358048,121.20944991,-83,15,4,26049,31.28843711,121.21106666,-93,10,3,27377,31.29263501,121.21829475,-73,20,4,27393,31.29329501,121.21280385,-91,11,3,14547,31.30375802,121.24132505,-85,14,4
861374033830412,1507727306,31.29203038,121.21360115,26051,31.28948091,121.21376815,-77,18,4,44757,31.29358048,121.20944991,-87,13,4,27377,31.29263501,121.21829475,-81,16,4,27393,31.29329501,121.21280385,-91,11,3,14547,31.30375802,121.24132505,-85,14,4,0,0,0,0,0,0
861374033830412,1507727309,31.29203038,121.21360115,26051,31.28948091,121.21376815,-73,20,4,44757,31.29358048,121.20944991,-87,13,4,27377,31.29263501,121.21829475,-81,16,4,14547,31.30375802,121.24132505,-87,13,4,0,0,0,0,0,0,0,0,0,0,0,0
861374033830412,1507727312,31.29203038,121.21360115,26051,31.28948091,121.21376815,-75,19,4,44757,31.29358048,121.20944991,-89,12,4,27377,31.29263501,121.21829475,-83,15,4,14547,31.30375802,121.24132505,-89,12,4,0,0,0,0,0,0,0,0,0,0,0,0
861374033830412,1507727315,31.29203038,121.21360115,26051,31.28948091,121.21376815,-85,14,4,44757,31.29358048,121.20944991,-91,11,3,27377,31.29263501,121.21829475,-87,13,4,14547,31.30375802,121.24132505,-91,11,3,44754,31.29377198,121.20843341,-99,7,2,0,0,0,0,0,0
861374033830412,1507727318,31.29203038,121.21360115,26051,31.28948091,121.21376815,-87,13,4,44757,31.29358048,121.20944991,-93,10,3,27377,31.29263501,121.21829475,-87,13,4,14547,31.30375802,121.24132505,-91,11,3,44754,31.29377198,121.20843341,-101,6,2,27394,31.28320002,121.20728971,-101,6,2
